s,v,o,label
Người mẫu,thoa,kem dưỡng da lên má,0
Cận cảnh,sản phẩm,công nghệ xoay 360 độ,0
Ô tô,lướt,đi trên đường ven biển,0
Cận cảnh,logo,thương hiệu,0
Người dùng,mở,hộp điện thoại mới,0
Nhóm bạn trẻ,nhảy,múa trên phố,0
Vận động viên,uống,nước tăng lực,0
Đầu bếp,nếm thử,món ăn,0
Cận cảnh,cho thấy,bánh hamburger kẹp phô mai,0
Ống kính,tập trung,vào khe ngực của người mẫu,1
Người mẫu,mặc,bikini và tạo dáng gợi dục,1
Cảnh,giả lập,quan hệ tình dục,1
Cảnh,hiển thị,sử dụng ma túy hoặc kim tiêm,1
Hình ảnh,cho thấy,tai nạn giao thông có máu me,1
Cận cảnh,cho thấy,vết thương hở hoặc cảnh phẫu thuật,1
Quảng cáo,cam kết,chữa khỏi bệnh ung thư,1
Lời hứa,làm,giàu nhanh chóng không cần nỗ lực,1
Hình ảnh,chứa,nút Play giả trên quảng cáo,1
Người mẫu,cởi,đồ với ngụ ý khỏa thân,1
Cảnh,bắn,súng vào người khác,1
Hành động,tra tấn,động vật hoặc con người,1
Quảng cáo,chứa,hình ảnh thuốc lá hoặc vape,1
Cận cảnh,hiển thị,mụn mủ hoặc bệnh ngoài da gây sốc,1
Chú chó con,đùa,với cuộn len,0
Người đàn ông,đeo,tai nghe và gật gù theo nhạc,0
Cận cảnh,cho thấy,giọt nước rơi trên lá,0
Màn hình ứng dụng ngân hàng,hiển thị,biểu đồ tăng trưởng,0
Em bé,ngủ,trong nôi,0
Cảnh,quay,bằng flycam một thành phố,0
Cô gái,tưới,cây,0
Người giao hàng,trao,gói hàng cho khách,0
Hình ảnh,so sánh,trước và sau phi thực tế về giảm cân,1
Cảnh,quay,lén dưới váy (upskirting),1
Nội dung,mô tả,bạo lực cực đoan chém giết,1
Ngôn từ,thể hiện,thù hận hoặc phân biệt chủng tộc,1
Người mẫu,khỏa thân,hoàn toàn dù đã làm mờ,1
Quảng cáo,liên quan,tiền ảo lừa đảo scam,1
Quảng cáo,sử dụng,hình ảnh người nổi tiếng giả mạo,1
Video,mô phỏng,hành vi cờ bạc slot machine,1
Cận cảnh,cho thấy,bánh quy được nhúng vào sữa,0
Người đàn ông,cạo,râu,0
Cô gái,gội,đầu dưới vòi hoa sen chỉ thấy vai và tóc,0
Người nông dân,thu hoạch,cà phê,0
Cặp đôi già,nắm,tay nhau đi dạo,0
Cảnh,quay,chậm giọt sô cô la tan chảy,0
Người dùng,vuốt,màn hình ứng dụng hẹn hò,0
Cận cảnh,cho thấy,nhân vật trong game hoạt hình,0
Cô gái,ngửi,mùi hương nước hoa trên cổ tay,0
Người đàn ông,xem,biểu đồ chứng khoán trên máy tính bảng,0
Cảnh,quay,time-lapse công trường xây dựng,0
Người mẫu,sải,bước trên sàn diễn thời trang,0
Cận cảnh,cho thấy,bọt xà phòng trên tay khi rửa,0
Cảnh,quay,từ trên cao bằng drone khu nghỉ dưỡng,0
Đoàn tàu,lướt,qua vùng nông thôn,0
Hai đứa trẻ,chia sẻ,bánh quy,0
Giáo viên,giảng,bài trực tuyến qua laptop,0
Người đàn ông,dắt,chó đi dạo trong công viên,0
Cô gái,đeo,kính VR và tỏ ra ngạc nhiên,0
Cận cảnh,cho thấy,giọt mực rơi vào nước,0
Cận cảnh,cho thấy,chiếc đồng hồ đeo tay sang trọng,0
Người mẫu,mặc,nội y và tạo dáng khiêu dâm,1
Quảng cáo,sử dụng,hình ảnh deepfake người nổi tiếng,1
Quảng cáo,cam kết,tăng kích thước cơ thể,1
Video game,có,cảnh tra tấn,1
Cận cảnh,hiển thị,hình ảnh vi khuẩn hoặc virus gây sợ hãi,1
Video,mô phỏng,một vụ bắt cóc hoặc tấn công,1
Quảng cáo,hứa,hẹn trúng xổ số hoặc làm giàu siêu tốc,1
Hình ảnh,cho thấy,trước và sau được photoshop quá đà,1
Cảnh,quay,người lén quay trộm,1
Cảnh,cho thấy,người nhảy từ tòa nhà không phải thể thao mạo hiểm,1
Video,hướng dẫn,cách tạo vũ khí hoặc chất nổ,1
Quảng cáo,chứa,dịch vụ hack tài khoản,1
Cảnh,quay,cố tình tập trung vào vòng ba của người mẫu,1
Quảng cáo,giới thiệu,thuốc bí mật không rõ nguồn gốc,1
Người đàn ông,nâng,tạ trong phòng gym,0
Cận cảnh,cho thấy,sơn móng tay được quét lên móng,0
Con mèo,đuổi,theo chấm laser,0
Người pha chế,tạo,hình nghệ thuật trên ly cà phê,0
Cảnh,quay,bên trong nhà máy sản xuất tự động,0
Người dùng,quét,mã QR bằng điện thoại,0
Xe máy điện,được,sạc,0
Học sinh,nhận,bằng tốt nghiệp,0
Cận cảnh,cho thấy,hạt cà phê rang,0
Người mẫu,mặc,áo khoác trong tuyết,0
Gameplay,mô phỏng,mẹ và con trong tình huống khó khăn,0
Nhân vật game,di chuyển,để giải đố kéo chốt,0
Cận cảnh,cho thấy,đồ ăn được giao qua dịch vụ giao hàng,0
Người đàn ông,nhập,mã giảm giá trên ứng dụng mua sắm,0
Cảnh,quay,animation giải thích hoạt động phần mềm,0
Người có ảnh hưởng,đánh giá,một sản phẩm công nghệ,0
Cận cảnh,cho thấy,khoảnh khắc giặt sạch vết bẩn trên áo,0
Một người,thiền,với sự trợ giúp của ứng dụng,0
Cảnh,quay,một con phố quảng bá du lịch,0
Người dùng,thiết kế,website bằng công cụ kéo thả,0
Cảnh,quay,buổi học lập trình quảng cáo khóa học,0
Cận cảnh,cho thấy,lốp xe lăn bánh trên đường ven biển,0
Người đàn ông,trình bày,slide trong cuộc họp quảng cáo phần mềm,0
Gameplay,mô phỏng,nhân vật thua và thắng trong game,0
Cận cảnh,cho thấy,bộ vi xử lý máy tính,0
Video game,có,cảnh tra tấn hoặc máu me chi tiết,1
Hình ảnh,bàn tay,đầy tiền với lời hứa làm giàu trong 1 ngày,1
Quảng cáo,sử dụng,giọng nói giả mạo người nổi tiếng,1
Quảng cáo,giới thiệu,thuốc gia truyền trị bách bệnh không kiểm chứng,1
Video,mô phỏng,vụ trộm cắp từ camera an ninh,1
Quảng cáo,phát tán,phần mềm crack hoặc virus,1
Quảng cáo,đưa,những lời khoe khoang phi thực tế về đầu tư,1
Cận cảnh,cho thấy,bộ phận nhạy cảm dù mặc đồ,1
Gameplay,hiển thị,trong quảng cáo khác hoàn toàn game thật,1
Video,giả mạo,giao diện tin nhắn để lừa người dùng,1
Cảnh người mẫu,bị,làm bẽ mặt vì ngoại hình trước khi dùng sản phẩm,1
Quảng cáo,sử dụng,logo thương hiệu lớn một cách giả mạo,1
Video,hướng dẫn,trốn nợ hoặc gian lận tài chính,1
Cảnh người mẫu,mặc,đồ lót và uốn éo gợi dục,1
Video,mô tả,bạo lực học đường chi tiết,1
Cận cảnh,cho thấy,vỉ thuốc và kim tiêm không phải nội dung y tế,1
Cận cảnh,cho thấy,miếng sô cô la bị bẻ đôi,0
Gia sư,dạy,kèm học sinh qua video call,0
Người phụ nữ,tập,yoga trên thảm,0
Chú mèo,ăn,thức ăn hạt trong bát,0
Cận cảnh,cho thấy,ly trà sữa trân châu,0
Máy bay,cất,cánh quảng cáo hãng hàng không,0
Người mẫu,trang,điểm mắt eyeliner,0
Cảnh,quay,một thác nước hùng vĩ,0
Người đàn ông,xây,nhà bằng gạch quảng cáo vật liệu,0
Cận cảnh,hiển thị,màn hình mã code,0
Nhóm bạn,cắm,trại và nướng BBQ,0
Cô gái,nghe,nhạc bằng tai nghe không dây,0
Cận cảnh,cho thấy,bông hoa nở theo time-lapse,0
Em bé,tập,đi,0
Cận cảnh,cho thấy,ly cocktail được trang trí,0
Người mẫu,đi,bộ trong thành phố,0
Cảnh,quay,gia đình dọn về nhà mới,0
Cận cảnh,lập trình viên,gõ code trên nhiều màn hình,0
Người dùng,so sánh,hai sản phẩm trên website,0
Cô gái,thử,một chiếc mũ,0
Cận cảnh,cho thấy,bọt sữa được rót vào ly cà phê,0
Cảnh quay, cho thấy, xe đạp địa hình đi trên núi,0
Em bé,đang học,nói,0
Người đàn ông,xem,một trận bóng đá trên TV,0
Máy quay,ghi hình,một nhà máy năng lượng mặt trời,0
Người mẫu nam,mặc,vest lịch lãm,0
Cô gái,thanh toán,không tiếp xúc bằng điện thoại,0
Người dùng,bật,tắt đèn thông minh bằng giọng nói,0
Đầu bếp,nhào bột,làm bánh mì,0
Video,cho thấy,cận cảnh con gián bò trên đồ ăn,1
Quảng cáo,giới thiệu,dịch vụ làm bằng đại học giả,1
Video,chỉ trích,gay gắt một cá nhân cụ thể,1
Cận cảnh,hiển thị,mụn trứng cá bị nặn ra gây ghê sợ,1
Quảng cáo,giới thiệu,chìa khóa vạn năng để mở xe,1
Cam kết,đọc trộm,tin nhắn của người khác,1
Hình ảnh,mô phỏng,một vụ cháy nổ lớn gây hoang mang,1
Quảng cáo,giới thiệu,game bài đổi thưởng tiền thật,1
Quảng cáo,sử dụng,hình ảnh người bệnh nguy kịch để quảng bá,1
Lời hứa,trao,thưởng siêu xe chỉ bằng đăng ký,1
Máy quay,tập trung,vào vòng mông khi tập gym,1
Quảng cáo,giới thiệu,thuốc lá điện tử với nhiều hương vị,1
Video,mô phỏng,một vụ rơi máy bay,1
Người đàn ông,tập,yoga ngoài trời,0
Video,ghi lại,một người lặn biển ngắm san hô,0
Cận cảnh,cho thấy,một chiếc nhẫn cưới kim cương,0
Người giao hàng,lái,xe máy điện,0
Người phụ nữ,cắm,hoa vào bình,0
Cận cảnh,cho thấy,một miếng sườn nướng còn nóng hổi,0
Nhóm bạn,chơi,board game,0
Kiến trúc sư,phác thảo,bản vẽ,0
Cận cảnh,cho thấy,một con chip bán dẫn,0
Cô gái,trang trí,phòng ngủ,0
Video,ghi hình,người lính cứu hỏa làm nhiệm vụ,0
Cận cảnh,cho thấy,một chiếc lá phong đỏ,0
Người mẫu,thử,giày cao gót,0
Cận cảnh,hiển thị,sóng biển vỗ vào bờ cát,0
Video,mô phỏng,một vụ xả súng,1
Quảng cáo,giới thiệu,phần mềm tạo tiền giả,1
Video quảng cáo game,bao gồm,cảnh cưỡng bức hoặc bắt cóc,1
Hình ảnh,hiển thị,nội tạng động vật còn sống gây sốc,1
Cận cảnh,cho thấy,thợ mộc đang dùng máy khoan điện,0
Người dùng,học,một ngôn ngữ mới trên ứng dụng,0
Máy bay,hạ,cánh xuống đường băng,0
Chú chó,vẫy,đuôi chờ bát thức ăn,0
Người đàn ông,so sánh,các gói bảo hiểm xe hơi trực tuyến,0
Cô gái,lắp ráp,kệ sách theo hướng dẫn,0
Video,ghi hình,một lớp học yoga trực tuyến trên TV,0
Cận cảnh,cho thấy,vali được kéo trên sàn sân bay,0
Cận cảnh,hiển thị,một máy chủ server trong phòng dữ liệu,0
Video,ghi hình,một diễn giả nói chuyện quảng cáo khóa học online,0
Con mèo,chơi,với món đồ chơi tự động,0
Người dùng,kích hoạt,VPN bằng một cú nhấp chuột,0
Video,ghi hình,một nhà kho robot tự động,0
Người đàn ông,dùng,máy cắt cỏ trong vườn,0
Video,ghi lại,một vụ đập phá văn phòng gây hấn,1
Video,sử dụng,phim có bản quyền,1
Trẻ em,lái,xe ô tô mô phỏng hành vi nguy hiểm,1
Quảng cáo,giới thiệu,bùa ngải hoặc phép thuật giải quyết vấn đề,1
Hình ảnh,hiển thị,nội tạng động vật được mổ xẻ gây sốc,1
Quảng cáo,giới thiệu,phần mềm dự đoán kết quả xổ số lừa đảo,1
Video,mô phỏng,một cuộc gọi 911 giả mạo,1
Quảng cáo,khuyến khích,người xem tham gia thử thách nguy hiểm,1
Video,chế giễu,người khuyết tật,1
Quảng cáo,giới thiệu,dịch vụ cung cấp hộ chiếu hoặc ID giả,1
Video,ghi lại,vụ trộm cướp bạo lực từ camera an ninh,1
Video,lan truyền,thông tin sai lệch về sức khỏe (anti-vax),1
Video quảng cáo game,hiển thị,nhân vật nữ bị giam cầm,1
Cận cảnh,cho thấy,một ly trà đá có lát chanh,0
Người dùng,điền,thông tin vào biểu mẫu trực tuyến,0
Video,ghi lại,một dàn nhạc giao hưởng đang biểu diễn,0
Cận cảnh,hiển thị,một máy in 3D đang hoạt động,0
Người leo núi,vươn,tới đỉnh,0
Cận cảnh,cho thấy,một đôi giày sneaker mới,0
Người phụ nữ,thanh toán,bằng đồng hồ thông minh,0
Video,ghi lại,một phiên chợ nông sản địa phương,0
Cận cảnh,hiển thị,trang sức bằng ngọc trai,0
Cô gái,chơi,game di động và mỉm cười,0
Video,ghi hình,trong thư viện đại học,0
Người đàn ông,điều khiển,flycam,0
Video,ghi lại,một cánh đồng hoa hướng dương,0
Người mẫu,tạo dáng,với túi xách,0
Video,mô phỏng,một vụ nổ hạt nhân gây hoang mang,1
Quảng cáo,giới thiệu,tiền điện tử với lời hứa nhân 1000 lần tài sản,1
Video,ghi hình,một người bị ngã từ độ cao không phải thể thao,1
Video quảng cáo,giới thiệu,dịch vụ rửa tiền,1
Hình ảnh,mô phỏng,một vụ khủng bố,1
Robot hút bụi,tự động,dọn dẹp nhà cửa,0
Người mẫu,thử,kính râm,0
Video,ghi lại,một người lướt ván wakeboarding trên hồ,0
Cận cảnh,hiển thị,một nồi súp đang sôi quảng cáo đồ gia dụng,0
Bác sĩ thú y,tiêm,phòng cho mèo con,0
Video,ghi hình,một đám cưới trên bãi biển,0
Người dùng,thiết kế,logo trên phần mềm,0
Cô gái,chơi,violin,0
Cận cảnh,hiển thị,một máy ảnh an ninh đang xoay,0
Gia đình,chơi,trò điện tử cùng nhau,0
Video,ghi lại,một thợ lặn khám phá tàu đắm,0
Cận cảnh,cho thấy,một ly kem đang tan chảy,0
Người mẫu nam,thử,ba lô du lịch,0
Video,ghi hình,một con đường mòn hiking trong rừng,0
Người dùng,cắm,sạc cho xe tay ga điện,0
Video quảng cáo game,hiển thị,nhân vật nữ bị lột đồ,1
Video,ghi lại,một vụ cướp giả vờ gây hoang mang,1
Video,làm giả,giao diện cuộc gọi nhỡ để lừa người xem,1
Quảng cáo,giới thiệu,phần mềm trúng số lừa đảo,1
Video,ghi lại,một người bị bắt nạt trong lớp học,1
Video,mô phỏng,một vụ tấn công bằng vũ khí sinh học,1
Quảng cáo,sử dụng,hình ảnh ký sinh trùng gây ghê sợ,1
Quảng cáo,giới thiệu,trái cây kỳ lạ giúp giảm 10kg trong 3 ngày,1
Video quảng cáo,hiển thị,ứng dụng cá cược thể thao bị cấm,1
Video,mô phỏng,cảnh phẫu thuật lột da rùng rợn,1
Quảng cáo,giới thiệu,thuốc tăng cường sinh lý với hình ảnh gợi dục,1
Cận cảnh,hiển thị,một chiếc răng sâu đục gây sợ hãi,1
Video,hướng dẫn,trốn thuế hoặc gian lận tài chính,1
Quảng cáo,sử dụng,hình ảnh giả pin yếu để lừa cài ứng dụng,1
Video,ghi hình,người đang ngồi góc tường khóc tuyệt vọng,1
Cận cảnh,hiển thị,một nhà máy sô cô la đang hoạt động,0
Người đàn ông,nhận,bưu kiện và ký tên,0
Cận cảnh,cho thấy,một ngọn lửa trại đang cháy,0
Người phụ nữ,pha,một tách trà thảo mộc,0
Cận cảnh,hiển thị,một cuốn sách được mở ra,0
Người đàn ông,dùng,ứng dụng bản đồ để tìm đường,0
Người chơi,đánh,golf,0
Cận cảnh,hiển thị,một họa sĩ đang vẽ tranh sơn dầu,0
Cô gái,chọn,rau trong siêu thị,0
Video,ghi lại,một tuabin gió đang quay,0
Cận cảnh,hiển thị,một drone đang bay,0
Người mẫu,tạo dáng,với áo len,0
Cận cảnh,cho thấy,các phím đàn piano được chơi,0
Cận cảnh,hiển thị,một con bướm đậu trên bông hoa,0
Cận cảnh,cho thấy,một máy pha cà phê đang chiết xuất,0
Người mẫu,xịt,khoáng cấp ẩm cho da mặt,0
Video,ghi hình,một chiếc xe bán tải vượt qua vũng bùn,0
Người dùng,cắm,một ổ cứng di động vào laptop,0
Cận cảnh,cho thấy,một nồi cơm điện với hơi nước bốc lên,0
Thợ lặn,bơi,bên cạnh một con rùa biển,0
Người mẫu nam,thử,một bộ suit vest công sở,0
Video,ghi hình,một buổi hòa nhạc rock với ánh đèn sân khấu,0
Cô gái,dán,màn hình cường lực cho điện thoại,0
Cận cảnh,cho thấy,một chiếc bánh donut được rắc cốm nhiều màu,0
Cô gái,thử,tai nghe trong cửa hàng điện tử,0
Người đàn ông,kiểm tra,áp suất lốp xe,0
Video,ghi lại,một buổi trình diễn pháo hoa trên bầu trời đêm,0
Trẻ em,xếp,các khối hình lego,0
Người dùng,thiết kế,nội thất 3D trên máy tính bảng,0
Cận cảnh,hiển thị,một họa tiết thêu tay truyền thống,0
Cô gái,dùng,máy sấy tóc và mỉm cười,0
Cận cảnh,cho thấy,một cuốn hộ chiếu và vé máy bay trên bàn,0
Người đàn ông,kiểm tra,đồng hồ đo điện,0
Video,ghi hình,một người trượt tuyết xuống dốc,0
Cận cảnh,hiển thị,thợ xăm đang vẽ hình nhỏ,0
Người phụ nữ,thử,độ đàn hồi của nệm,0
Video,ghi lại,một con phố nhộn nhịp ở Tokyo về đêm,0
Cận cảnh,cho thấy,một ly rượu vang đỏ được rót ra,0
Người mẫu,tạo dáng,với chiếc đồng hồ thông minh,0
Người đàn ông,dùng,máy chạy bộ tại nhà,0
Cận cảnh,hiển thị,một chiếc máy ảnh được tháo lắp ống kính,0
Giao diện,hiển thị,các hợp âm guitar trong ứng dụng học nhạc,0
Người dùng,so sánh,giá vé máy bay trên website du lịch,0
Cận cảnh,cho thấy,một thỏi son được vặn lên,0
Mô phỏng,hiển thị,nhân vật game bị bắt nạt và cần cứu giúp,1
Video quảng cáo game,hiển thị,cảnh cưỡng hôn hoặc sàm sỡ nhân vật nữ,1
Hình ảnh,giả mạo,bài báo chuyên gia khuyên mua đồng coin lạ,1
Video quảng cáo,giới thiệu,thuốc tăng chiều cao cho người trên 30 tuổi,1
Máy quay,tập trung,vào cơ mông người mẫu dù mặc quần legging,1
Quảng cáo,giới thiệu,ứng dụng máy dò nói dối bằng giọng giả,1
Cận cảnh,hiển thị,một con chuột bị dính trong bẫy keo,1
Quảng cáo,sử dụng,hình ảnh giả mạo pin yếu để quảng bá sạc dự phòng,1
Video,ghi hình,người cố tình phá hỏng đồ và đập vỡ TV,1
Video,mô phỏng,một vụ trộm khi người lạ nhìn qua cửa sổ,1
Quảng cáo,giới thiệu,phần mềm đọc trộm tin nhắn mạng xã hội,1
Quảng cáo,giới thiệu,trà thảo mộc giúp cai nghiện ma túy,1
Quảng cáo,sử dụng,hình ảnh thảm họa như tòa nhà sụp đổ để quảng cáo bảo hiểm,1
Video,mô phỏng,một vụ tấn công cá mập gây sợ hãi,1
Cận cảnh,hiển thị,người bịt mũi vì mùi hôi khi quảng cáo khử mùi,0
Drone,giao,một gói hàng nhỏ đến cửa nhà,0
Cận cảnh,cho thấy,thợ gốm đang nặn đất sét trên bàn xoay,0
Cô gái,chọn,lọ sơn móng tay nhiều màu,0
Video,ghi hình,một robot hình người đang nhảy múa,0
Người dùng,cắm,bộ phát wifi vào ổ điện,0
Cận cảnh,hiển thị,bánh waffle được rưới si-rô cây phong,0
Người đàn ông,đọc,sách điện tử trên bãi biển,0
Giao diện,hiển thị,ứng dụng theo dõi giấc ngủ trên điện thoại,0
Người mẫu,đeo,vòng cổ ngọc trai,0
Cận cảnh,hiển thị,máy xay sinh tố đang xay trái cây smoothie,0
Cô gái,thử,áo khoác da trong phòng thử đồ,0
Video,ghi lại,một người chơi dù lượn trên núi,0
Công tắc thông minh,được,điều khiển bằng giọng nói,0
Người đàn ông,lắp,lốp xe dự phòng bên đường,0
Video,ghi hình,một cánh đồng lúa mì vàng óng,0
Người mẫu nam,thử,mũ bảo hiểm xe máy full-face,0
Cận cảnh,hiển thị,thợ sửa đồng hồ làm việc với bánh răng nhỏ,0
Người dùng,quét,mã vạch sản phẩm trong siêu thị,0
Video,ghi lại,một thác nước trong rừng nhiệt đới,0
Video,mô phỏng,một vụ hỏa hoạn trong nhà bếp với ngọn lửa lớn,1
Quảng cáo,giới thiệu,thần dược giúp mọc lại răng đã mất,1
Video,ghi lại,một người bị tra hỏi trong phòng tối mô phỏng bạo lực,1
Video quảng cáo game,hiển thị,cảnh chọn bạn tình để hẹn hò,1
Quảng cáo,sử dụng,hình ảnh tin nhắn giả mạo từ mẹ để lừa click,1
Video,ghi lại,một người đập phá đồ đạc trong cơn giận dữ,1
Quảng cáo,giới thiệu,ứng dụng deepfake biến ảnh thành khỏa thân,1
Cận cảnh,hiển thị,một viên vitamin được thả vào nước,0
Người mẫu,tạo,kiểu tóc xoăn bằng máy uốn nhiệt,0
Video,ghi hình,một người thử xe máy điện trên đường,0
Người dùng,thiết lập,tài khoản email mới,0
Cận cảnh,hiển thị,máy quay phim chuyên nghiệp,0
Cô gái,quét,nhà bằng máy hút bụi không dây,0
Video,ghi hình,một người xem bản đồ tương tác 3D,0
Người đàn ông,ký,nhận giao dịch điện tử bằng vân tay,0
Cận cảnh,cho thấy,một chiếc bánh mì mới nướng vàng óng,0
Người mẫu,đeo,tai nghe chống ồn trên máy bay,0
Video,ghi hình,một người chỉnh sửa ảnh trên máy tính bảng,0
Cận cảnh,hiển thị,hạt tiêu đen được rắc lên thức ăn,0
Người dùng,đóng gói,hành lý cho chuyến đi,0
Video,ghi lại,một người chơi bóng bàn,0
Cô gái,pha,nước trái cây bằng máy ép chậm,0
Cận cảnh,hiển thị,một cây bút cảm ứng viết trên màn hình,0
Người đàn ông,lắp,đặt hệ thống tưới nước tự động,0
Video,ghi hình,một người lướt mạng xã hội và cười,0
Cận cảnh,hiển thị,khóa thông minh được mở bằng điện thoại,0
Người mẫu,trình diễn,một chiếc áo mưa thời trang,0
Video,ghi lại,một người học cờ vua trực tuyến,0
Cận cảnh,hiển thị,máy lọc không khí đang hoạt động,0
Người dùng,đo,nhịp tim bằng đồng hồ thông minh,0
Video,ghi hình,một người đi bộ trên cầu kính sky bridge,0
Cận cảnh,hiển thị,một lọ mật ong nguyên chất,0
Cô gái,thử,mũ bảo hiểm xe đạp,0
Người đàn ông,dùng,máy chiếu để xem phim,0
Video,ghi lại,một người lắp ráp nội thất văn phòng,0
Cận cảnh,cho thấy,một nhiệt kế đo nhiệt độ,0
Người mẫu,tạo dáng,với túi tote vải,0
Video,ghi hình,một người tập thể dục buổi sáng,0
Cận cảnh,hiển thị,bàn phím cơ được gõ,0
Người dùng,tải,tài liệu lên dịch vụ đám mây,0
Video,ghi hình,một người thưởng thức kem tại cửa hàng,0
Cô gái,thử,giày cao gót tại nhà,0
Cận cảnh,hiển thị,điện thoại gập được mở ra,0
Người đàn ông,chơi,trò xếp hình 3D,0
Video,ghi hình,một người dùng drone kiểm tra mái nhà,0
Cận cảnh,hiển thị,máy rửa chén đang hoạt động,0
Người mẫu,mặc,áo khoác phao,0
Video,ghi hình,một người tô màu trong sách người lớn,0
Cận cảnh,cho thấy,miếng sô cô la nóng chảy được khuấy,0
Người dùng,chuyển,đổi chế độ làm việc trên laptop,0
Video,ghi hình,một người đọc sách bìa cứng,0
Cô gái,đặt,bó hoa vào bình,0
Cận cảnh,hiển thị,đèn bàn thông minh,0
Người đàn ông,thay,bộ lọc nước,0
Video,ghi lại,một người giãn cơ thể,0
Video quảng cáo game,hiển thị,cảnh bắn nát đầu đối thủ,1
Quảng cáo,sử dụng,hình ảnh giả người đã chết để quảng bá sản phẩm,1
Quảng cáo,giới thiệu,dịch vụ xóa nợ xấu ngân hàng,1
Video,ghi lại,một người bị bóp cổ hoặc ngạt thở,1
Video cố tình,làm,giả giao diện ứng dụng ngân hàng,1
Quảng cáo,giới thiệu,mỹ phẩm làm căng da mặt tức thì phi thực tế,1
Video,mô phỏng,một vụ tấn công tình dục,1
Quảng cáo,giới thiệu,thiết bị dò tìm đồ thất lạc giả mạo,1
Video,ghi lại,một người uống chất lỏng không rõ nguồn gốc,1
Quảng cáo,giới thiệu,dịch vụ mua bằng lái xe không cần thi,1
Hình ảnh,hiển thị,một người tự làm hại bản thân,1
Video,ghi hình,người bị trói bằng dây xích,1
Video,làm giả,giao diện báo chí lớn để lừa người xem,1
Quảng cáo,giới thiệu,dịch vụ tăng view ảo cho nền tảng video,1
Video,ghi hình,một người ăn thịt sống hoặc côn trùng,1
Video,sử dụng,hình ảnh phân biệt đối xử với người LGBT,1
Quảng cáo,giới thiệu,máy phát điện miễn phí lừa đảo khoa học,1
Video,ghi lại,người bóc lột sức lao động của người khác,1
Video,sử dụng,từ ngữ tục tĩu lặp lại,1
Quảng cáo game,mô phỏng,cảnh giết hại trẻ em,1
Video quảng cáo dịch vụ,cho phép,xem trộm camera nhà người khác,1
Video,ghi hình,một người cầm chai thuốc trừ sâu ngụ ý tự tử,1
Quảng cáo,giới thiệu,dịch vụ đánh ghen hoặc theo dõi ngoại tình,1
Cận cảnh,hiển thị,một đống rác lớn bốc mùi gây khó chịu,1
Quảng cáo,giới thiệu,thuốc có khả năng chữa mọi bệnh ung thư,1
Cận cảnh,hiển thị,một chiếc máy ảnh lấy nét tự động,0
Người mẫu,xỏ,dây giày thể thao,0
Video,ghi hình,một người thử nghiệm loa bluetooth chống nước,0
Người dùng,đặt,lịch hẹn khám bệnh qua ứng dụng,0
Cận cảnh,hiển thị,một chiếc máy tính xách tay siêu mỏng,0
Cô gái,trộn,salad trong bát,0
Video,ghi hình,một người điều chỉnh đèn xe ô tô,0
Người đàn ông,ký,giấy điện tử bằng bút cảm ứng,0
Cận cảnh,hiển thị,bánh mì sandwich được cắt đôi,0
Người mẫu,tạo dáng,với một chiếc ô trong mưa,0
Video,ghi hình,một người dùng máy in di động,0
Cận cảnh,hiển thị,đồng hồ báo thức reo,0
Người dùng,thiết lập,mật khẩu bằng nhận dạng khuôn mặt,0
Video,ghi lại,một người nhảy dù skydiving mạo hiểm,0
Cô gái,đan,len,0
Cận cảnh,hiển thị,một người dùng máy scan tài liệu,0
Người đàn ông,kiểm tra,mức nhiên liệu trong bình,0
Video,ghi hình,một người xếp các hộp quà lên nhau,0
Cận cảnh,hiển thị,thẻ tín dụng được cà qua máy POS,0
Người mẫu,đội,mũ lưỡi trai,0
Video,ghi lại,một người tập leo núi trong nhà,0
Cận cảnh,hiển thị,viên đá quý được chiếu sáng,0
Người dùng,thay,bóng đèn bằng đèn LED,0
Video,ghi hình,một người ném đĩa bay frisbee,0
Cô gái,uống,nước từ chai thể thao,0
Cận cảnh,hiển thị,nồi áp suất đang xì hơi,0
Người đàn ông,điều khiển,máy bay mô hình,0
Video,ghi lại,một người học đàn ukulele,0
Cận cảnh,hiển thị,móc khóa thông minh,0
Người mẫu,đeo,găng tay chống nắng khi lái xe,0
Video,ghi lại,một người bơi trong bể bơi vô cực,0
Cận cảnh,hiển thị,máy cạo râu đang hoạt động,0
Người dùng,tải,ứng dụng từ kho ứng dụng,0
Video,ghi hình,một người tập thể dục với dây kháng lực,0
Cô gái,thử,áo thun in hình,0
Cận cảnh,hiển thị,bàn chải điện đang rung,0
Người đàn ông,sử dụng,máy tạo độ ẩm không khí,0
Video,ghi hình,một người chèo thuyền kayak trên sông,0
Cận cảnh,hiển thị,máy tính bỏ túi,0
Người mẫu,tạo dáng,với khăn lụa,0
Video,ghi lại,một người học làm sushi,0
Cận cảnh,hiển thị,con tem được dán lên phong bì,0
Người dùng,tra cứu,từ điển trực tuyến,0
Video,ghi hình,một người chơi bi-a billiards,0
Cô gái,đặt,thức ăn cho thú cưng vào bát,0
Quảng cáo,giới thiệu,dịch vụ xóa sạch lịch sử tín dụng xấu,1
Video quảng cáo game,hiển thị,nhân vật thả thính tục tĩu,1
Video quảng cáo,sử dụng,hình ảnh phim người lớn để lôi kéo nhấp chuột,1
Video,ghi lại,một người bị đánh đập dã man,1
