"description","label"
"Cảnh người bị cào rách mặt trong phim quảng cáo","1"
"Một cô gái đang dạy cách gội đầu đúng cách","0"
"Người mẫu mặc bikini chụp ảnh dưới ánh đèn xanh","1"
"Cảnh người bị phun máu vào áo trắng","1"
"Một người đàn ông đang pha nước ép trái cây","0"
"Video có cảnh bàn tay bị đâm bằng kéo","1"
"Người mẫu ngồi khoanh chân trên giường áo hở bụng","1"
"Một cô gái đang trò chuyện qua video call","0"
"Cảnh người bị đổ nước sôi lên mặt","1"
"Người mẫu nằm trên sàn với áo xuyên thấu","1"
"Một người đàn ông đang hướng dẫn tập gym","0"
"Cảnh người bị ngã xe và trầy máu đầu gối","1"
"Người mẫu khoe vòng ngực trong ánh đèn tím","1"
"Một cô gái đang uống nước cam buổi sáng","0"
"Video mô phỏng người bị tấn công bằng dao","1"
"Người mẫu chụp ảnh với váy ngủ mỏng","1"
"Một người đàn ông đang làm việc trong quán cà phê","0"
"Cảnh người bị tát nhiều lần trong đoạn phim","1"
"Người mẫu tạo dáng với áo ren đỏ","1"
"Một cô gái đang viết nhật ký trên bàn học","0"
"Video có cảnh người bị xô vào tường","1"
"Người mẫu mặc váy ngắn ngồi khoanh chân","1"
"Một người đàn ông đang pha trà và cười","0"
"Cảnh người bị trói tay và kêu cứu","1"
"Người mẫu khoe vai và eo trần trong phòng ngủ","1"
"Một cô gái đang đứng trong phòng bếp","0"
"Cảnh người bị bắn trong game máu văng lên tường","1"
"Người mẫu chụp ảnh với ánh sáng mờ váy ren đen","1"
"Một người đàn ông đang đi bộ trong công viên","0"
"Cảnh người bị đập vào đầu bằng chai bia","1"
"Video hiển thị người bị cháy tóc vì nổ bếp","1"
"Một cô gái đang đọc truyện tranh","0"
"Người mẫu tạo dáng bên cửa sổ váy trễ vai","1"
"Cảnh người bị cào chảy máu trên cổ","1"
"Một người đàn ông đang cười khi mở laptop","0"
"Người mẫu mặc bikini uốn người trên giường","1"
"Cảnh người bị hất đồ ăn vào mặt","1"
"Một cô gái đang vẽ tranh trong phòng sáng","0"
"Người mẫu khoe vòng ba trong phòng tắm","1"
"Video có cảnh người bị đánh ngất bằng gậy","1"
"Một người đàn ông đang ngồi đọc báo sáng","0"
"Người mẫu mặc áo ngủ mỏng chụp ảnh với đèn vàng","1"
"Cảnh người bị rơi khỏi xe hơi đang chạy","1"
"Một cô gái đang chơi đàn violin","0"
"Video mô phỏng người bị đâm trong bóng tối","1"
"Người mẫu nằm nghiêng khoe vai và eo","1"
"Một người đàn ông đang kiểm tra tài liệu","0"
"Cảnh người bị xô ngã xuống sàn và kêu đau","1"
"Người mẫu đứng tạo dáng trong quán bar","1"
"Video hiển thị người bị chém tay máu văng ra","1"
"Người mẫu cắn môi nhìn thẳng ống kính","1"
"Một người đàn ông đang tưới cây ngoài sân","0"
"Cảnh người bị tát giữa đám đông","1"
"Người mẫu khoe eo trần trong ánh sáng đỏ","1"
"Một cô gái đang đi dạo với bạn","0"
"Người mẫu nằm trên ghế sofa với váy ngủ ngắn","1"
"Cảnh người bị đánh bằng gậy gỗ trong game quảng cáo","1"
"Một cô gái đang rót trà cho khách","0"
"Người mẫu khoe lưng trần dưới ánh đèn xanh","1"
"Cảnh người bị chảy máu mũi sau cú đấm","1"
"Một người đàn ông đang giảng bài trên bảng trắng","0"
"Video hiển thị người bị đạp ngã xuống cầu thang","1"
"Một cô gái đang pha nước ép trái cây","0"
"Người mẫu ngồi trên giường khoe vai trần","1"
"Cảnh người bị tát liên tục trong đoạn ngắn","1"
"Một người đàn ông đang gấp áo sơ mi","0"
"Người mẫu mặc váy mỏng uốn người trên sàn","1"
"Video có cảnh người bị bóp cổ trong phòng tối","1"
"Một cô gái đang học trong thư viện","0"
"Người mẫu khoe vòng ngực trong ánh đèn vàng","1"
"Cảnh người bị đổ sơn đỏ lên đầu","1"
"Một người đàn ông đang sửa xe ngoài đường","0"
"Người mẫu chụp ảnh với áo ngủ ren đen","1"
"Video hiển thị người bị đâm dao vào vai","1"
"Một cô gái đang cười khi chơi với mèo","0"
"Người mẫu nằm nghiêng khoe lưng và eo","1"
"Cảnh người bị đánh gục trên sàn nhà","1"
"Một người đàn ông đang uống cà phê sáng","0"
"Người mẫu tạo dáng trong phòng ngủ ánh sáng đỏ","1"
"Cảnh người bị ném chai vào mặt","1"
"Một cô gái đang mở quà sinh nhật","0"
"Người mẫu khoe vai trần khi ngồi dựa cửa","1"
"Cảnh người bị kéo lê giữa đường trong video hành động","1"
"Một người đàn ông đang chơi đàn guitar","0"
"Người mẫu mặc áo ngủ bó sát chụp ảnh trước gương","1"
"Cảnh người bị chảy máu từ mũi và miệng","1"
"Một cô gái đang nấu ăn trong căn bếp nhỏ","0"
"Người mẫu khoe vòng eo khi đứng dựa tường","1"
"Video có cảnh người bị đâm xuyên tay","1"
"Một người đàn ông đang viết trên sổ ghi chép","0"
"Người mẫu mặc váy ngắn ngồi vắt chân","1"
"Người mẫu khoe dáng bên rèm cửa mờ","1"
"Cảnh người bị ném vào bàn kính vỡ","1"
"Một người đàn ông đang trò chuyện trong phòng họp","0"
"Người mẫu nằm ngửa với váy ren trắng","1"
"Video mô phỏng cảnh máu phun ra từ cổ","1"
"Một cô gái đang tưới cây ban công","0"
"Người mẫu khoe chân dài trên giường trắng","1"
"Cảnh người bị kéo tóc trong ánh sáng mờ","1"
"Một người đàn ông đang cười nói khi xem tivi","0"
"Người mẫu chụp ảnh với váy xuyên thấu","1"
"Video có cảnh người bị đốt cháy trong lửa","1"
"Một cô gái đang gấp chăn buổi sáng","0"
"Người mẫu khoe vai và ngực trần","1"
"Cảnh người bị đánh ngã bằng ghế gỗ","1"
"Một người đàn ông đang nấu ăn trong bếp","0"
"Người mẫu nằm sấp trên giường tay chạm tóc","1"
"Video hiển thị cảnh máu chảy trên sàn nhà","1"
"Một cô gái đang đi bộ ngoài phố","0"
"Người mẫu khoe eo thon khi uốn người","1"
"Cảnh người bị tát và ngã vào tường","1"
"Một người đàn ông đang pha trà trong văn phòng","0"
"Người mẫu mặc bikini ngồi bên bể nước","1"
"Cảnh người bị cào xước mặt chảy máu","1"
"Một cô gái đang chụp ảnh món ăn","0"
"Người mẫu khoe vòng ba trong ánh sáng mờ","1"
"Video có cảnh người bị kéo lê qua nền bê tông","1"
"Một người đàn ông đang bấm điện thoại","0"
"Người mẫu nằm trên giường với áo ren đỏ","1"
"Cảnh người bị ném xuống hồ","1"
"Người mẫu khoe ngực trong khung hình cận","1"
"Cảnh người bị đổ máu trên tay","1"
"Một người đàn ông đang tập thể dục","0"
"Người mẫu đứng tạo dáng với váy trễ vai","1"
"Video hiển thị cảnh người bị tấn công trong bóng tối","1"
"Một cô gái đang nói chuyện với bạn qua điện thoại","0"
"Người mẫu mặc áo ngủ ren trắng nằm nghiêng","1"
"Cảnh người bị chém trong đoạn hành động","1"
"Một người đàn ông đang bật máy tính làm việc","0"
"Người mẫu khoe vai và cổ trong ánh đèn mờ","1"
"Cảnh người bị nổ tung trong game mô phỏng","1"
"Người mẫu chụp ảnh trong tư thế nằm ngửa","1"
"Video có cảnh người bị đánh rơi khỏi ghế","1"
"Một người đàn ông đang rửa chén trong bếp","0"
"Người mẫu khoe eo và lưng trần","1"
"Cảnh người bị kéo vào xe hơi","1"
"Một cô gái đang ăn sáng với bạn bè","0"
"Người mẫu tạo dáng gợi cảm trước gương","1"
"Cảnh người bị đâm từ phía sau","1"
"Một người đàn ông đang cười nói trong quán cà phê","0"
"Người mẫu nằm trên giường khoe chân trần","1"
"Video mô phỏng cảnh máu bắn tung tóe","1"
"Một cô gái đang xem điện thoại trong phòng khách","0"
"Người mẫu mặc áo trong suốt tạo dáng","1"
"Cảnh người bị đập đầu xuống sàn","1"
"Một người đàn ông đang sửa đồng hồ","0"
"Người mẫu khoe vai trần trong khung cảnh ánh đỏ","1"
"Cảnh người bị tát giữa đường","1"
"Một cô gái đang pha cà phê tại nhà","0"
"Người mẫu ngồi trên ghế áo ren đen","1"
"Video có cảnh người bị đâm ngã","1"
"Một người đàn ông đang đọc báo sáng","0"
"Người mẫu nghiêng người khoe eo trước ống kính","1"
"Cảnh người bị bóp cổ trong phòng ánh sáng xanh","1"
"Một chàng trai đang giới thiệu ứng dụng học từ vựng","0"
"Người mẫu mặc váy ngủ ren đỏ nằm nghiêng","1"
"Video mô phỏng cảnh người bị rơi từ tầng cao","1"
"Một cô gái đang cười khi mở hộp quà sinh nhật","0"
"Người mẫu khoe vai trần và ánh nhìn gợi cảm","1"
"Cảnh người bị đánh bằng chai thủy tinh","1"
"Một người đàn ông đang nói về mẹo tiết kiệm tiền","0"
"Người mẫu tạo dáng uốn người trên ghế","1"
"Video mô phỏng cảnh máu văng lên tường","1"
"Một cô gái đang gấp quần áo","0"
"Người mẫu mặc áo trong suốt nhìn thẳng vào camera","1"
"Cảnh người bị kéo lê qua hành lang tối","1"
"Một người đàn ông đang giới thiệu khóa học online","0"
"Người mẫu nằm trên sàn váy ren trễ vai","1"
"Video hiển thị cảnh người bị bắn bằng cung tên","1"
"Một cô gái đang rửa mặt trong phòng tắm","0"
"Người mẫu khoe dáng trong ánh sáng vàng mờ","1"
"Cảnh người bị đánh ngất trong đoạn phim quảng cáo","1"
"Một người đàn ông đang cười trong phòng làm việc","0"
"Người mẫu mặc bikini trắng tạo dáng trước gương","1"
"Cảnh người bị đâm xuyên bụng trong game","1"
"Người mẫu khoe vòng ngực khi ngồi trên giường","1"
"Video có cảnh người bị rơi máu mũi","1"
"Một người đàn ông đang pha cà phê","0"
"Người mẫu tạo dáng với ánh đèn hồng lấp lánh","1"
"Cảnh người bị trói tay trên ghế","1"
"Một cô gái đang ăn kem cười vui vẻ","0"
"Người mẫu khoe eo trong váy bó sát","1"
"Video mô phỏng cảnh người bị vỡ đầu bằng vật cứng","1"
"Một người đàn ông đang giới thiệu máy lọc nước","0"
"Người mẫu nằm sấp trên giường váy ngắn","1"
"Cảnh người bị xô ngã trong quảng cáo phim","1"
"Một cô gái đang tô son môi","0"
"Người mẫu khoe vai trần trong ánh sáng mờ","1"
"Video hiển thị cảnh người bị đánh đổ máu","1"
"Một người đàn ông đang tưới cây ngoài vườn","0"
"Người mẫu chụp ảnh với áo ren mỏng","1"
"Cảnh người bị chảy máu tay trong game","1"
"Một cô gái đang nói chuyện qua video call","0"
"Một người đàn ông đang dạy thể dục buổi sáng","0"
"Người mẫu mặc áo lưới khoe lưng trần","1"
"Cảnh người bị trói trong bóng tối","1"
"Một cô gái đang cười với bạn","0"
"Người mẫu khoe chân dài với váy ngắn","1"
"Video mô phỏng cảnh chiến đấu bằng dao","1"
"Một người đàn ông đang nói về mẹo học ngoại ngữ","0"
"Người mẫu mặc váy ren đen ngồi bên cửa sổ","1"
"Cảnh người bị đập vào đầu trong đoạn hành động","1"
"Người mẫu khoe dáng khi uốn cong người","1"
"Video hiển thị cảnh người bị rơi vào bẫy","1"
"Một người đàn ông đang đọc sách trong phòng khách","0"
"Người mẫu mặc áo mỏng trong ánh đèn đỏ","1"
"Cảnh người bị chảy máu mồm trong quảng cáo game","1"
"Một cô gái đang ăn sáng trong bếp","0"
"Người mẫu khoe vai và cổ áo trễ","1"
"Video mô phỏng cảnh người bị đè dưới xe","1"
"Một người đàn ông đang bật laptop làm việc","0"
"Người mẫu nằm nghiêng trên ghế sofa váy mỏng","1"
"Cảnh người bị bắn ngã trong game","1"
"Một cô gái đang xem video trên điện thoại","0"
"Người mẫu khoe eo khi tạo dáng cúi người","1"
"Video có cảnh người bị đánh bật máu","1"
"Một người đàn ông đang tư vấn tài chính","0"
"Người mẫu mặc áo trong suốt ngồi dựa gối","1"
"Cảnh người bị đâm trong hành lang","1"
"Một cô gái đang chơi đàn piano","0"
"Người mẫu khoe ngực khi nằm trên giường trắng","1"
"Video hiển thị cảnh người bị xô ngã khỏi ghế","1"
"Một người đàn ông đang nói về ứng dụng làm việc nhóm","0"
"Người mẫu chụp ảnh với váy trễ vai","1"
"Cảnh người bị bắn trong cảnh game FPS","1"
"Một cô gái đang đi bộ trong công viên","0"
"Người mẫu khoe vòng hông trong váy ren","1"
"Video mô phỏng cảnh người bị rơi vào nước","1"
"Một người đàn ông đang hướng dẫn nấu ăn","0"
"Người mẫu khoe vai trong ánh sáng hồng mờ","1"
"Cảnh người bị tát mạnh trong quảng cáo phim","1"
"Một cô gái đang gói quà tặng","0"
"Người mẫu nằm nghiêng váy ngủ ngắn","1"
"Video hiển thị cảnh người bị chảy máu từ trán","1"
"Một người đàn ông đang pha nước chanh","0"
"Người mẫu khoe ngực và eo","1"
"Cảnh người bị đạp ngã xuống cầu thang","1"
"Một cô gái đang tưới hoa","0"
"Người mẫu khoe chân dài dưới ánh đèn mờ","1"
"Video mô phỏng cảnh bạo lực đường phố","1"
"Một người đàn ông đang xem đồng hồ","0"
"Người mẫu mặc đồ ren tạo dáng trên giường","1"
"Cảnh người bị ném xuống sàn","1"
"Một cô gái đang gấp áo quần","0"
"Người mẫu khoe eo trong tư thế nằm sấp","1"
"Video có cảnh người bị rơi máu từ miệng","1"
"Một người đàn ông đang xem bản đồ","0"
"Người mẫu khoe ngực khi nghiêng người trước gương","1"
"Cảnh người bị đánh ngã xuống đất trong phòng tối","1"
"Một cô gái đang học tiếng Anh qua điện thoại","0"
"Người mẫu nằm sấp khoe vòng 3 trong ánh sáng mờ","1"
"Video mô phỏng cảnh người bị chém tay máu bắn ra","1"
"Một người đàn ông đang sửa máy tính","0"
"Người mẫu mặc váy ngủ ren tạo dáng trên giường","1"
"Cảnh người bị ném chai nước vào mặt","1"
"Một cô gái đang trang điểm nhẹ nhàng","0"
"Người mẫu khoe vai trần trong khung hình cận","1"
"Video có cảnh người bị đâm ngã trong quảng cáo phim","1"
"Người mẫu mặc áo trong suốt khoe eo thon","1"
"Cảnh người bị tát mạnh làm ngã","1"
"Một cô gái đang pha nước cam","0"
"Người mẫu khoe chân dài khi ngồi vắt chéo","1"
"Video hiển thị cảnh máu loang trên sàn nhà","1"
"Một người đàn ông đang nói về đầu tư chứng khoán","0"
"Người mẫu tạo dáng trên giường với váy mỏng","1"
"Cảnh người bị đâm trong ngực bằng dao","1"
"Một cô gái đang chơi đàn guitar","0"
"Người mẫu khoe eo khi uốn người nhìn vào camera","1"
"Video mô phỏng cảnh chiến đấu bằng súng","1"
"Một người đàn ông đang đọc email trên laptop","0"
"Người mẫu mặc áo lưới đen tạo dáng gợi cảm","1"
"Cảnh người bị trói và la hét","1"
"Một cô gái đang ăn sáng trong phòng bếp","0"
"Người mẫu nằm ngửa khoe ngực trong ánh sáng đỏ","1"
"Video có cảnh người bị đánh bật máu mũi","1"
"Một người đàn ông đang dạy vẽ","0"
"Người mẫu khoe vai trần trong ánh sáng vàng","1"
"Cảnh người bị đâm dao vào vai","1"
"Một cô gái đang gọi video với bạn","0"
"Người mẫu mặc bikini chụp ảnh bên hồ bơi","1"
"Video mô phỏng cảnh người bị rơi xuống vực","1"
"Một người đàn ông đang gói quà sinh nhật","0"
"Người mẫu khoe ngực và eo khi xoay người","1"
"Cảnh người bị đánh bằng dây xích","1"
"Một cô gái đang đọc sách trong thư viện","0"
"Người mẫu mặc áo mỏng tạo dáng trên ghế sofa","1"
"Video có cảnh người bị tát trong ánh sáng đỏ","1"
"Một người đàn ông đang sửa ống nước","0"
"Người mẫu khoe chân dài khi đứng trước cửa sổ","1"
"Cảnh người bị xô vào tường trong phim quảng cáo","1"
"Một cô gái đang tưới cây","0"
"Người mẫu mặc váy bó sát khoe hông","1"
"Video hiển thị cảnh máu chảy từ đầu","1"
"Người mẫu nằm nghiêng khoe vai trần","1"
"Cảnh người bị đổ chất lỏng đỏ lên người","1"
"Một cô gái đang mở laptop làm việc","0"
"Người mẫu khoe vòng eo khi uốn lưng","1"
"Video mô phỏng cảnh người bị bắn bằng cung","1"
"Một người đàn ông đang dạy kỹ năng mềm","0"
"Người mẫu mặc váy ngủ trắng tạo dáng","1"
"Cảnh người bị chảy máu miệng","1"
"Một cô gái đang làm bánh trong bếp","0"
"Người mẫu khoe chân khi ngồi trên ghế cao","1"
"Video có cảnh người bị xô ngã xuống cầu thang","1"
"Một người đàn ông đang viết ghi chú trong sổ","0"
"Người mẫu khoe vai trần trong ánh sáng xanh","1"
"Cảnh người bị bóp cổ và ngã","1"
"Người mẫu mặc đồ ren nằm nghiêng","1"
"Video hiển thị cảnh người bị đâm máu phun","1"
"Một người đàn ông đang làm bài tập","0"
"Người mẫu khoe eo trong váy ren đen","1"
"Cảnh người bị kéo vào phòng tối","1"
"Một cô gái đang xem phim cùng bạn","0"
"Người mẫu mặc bikini khoe vòng 1","1"
"Video mô phỏng cảnh người bị tấn công bằng dao","1"
"Một người đàn ông đang đi bộ trên phố","0"
"Người mẫu khoe dáng trong váy mỏng","1"
"Cảnh người bị ném xuống đất trong game","1"
"Một cô gái đang pha trà","0"
"Người mẫu khoe vai trần khi ngồi trên ghế","1"
"Video hiển thị cảnh người bị bắn xuyên ngực","1"
"Người mẫu nằm trên giường khoe eo","1"
"Một cô gái đang ăn trưa với bạn bè","0"
"Người mẫu khoe vòng hông khi đứng nghiêng","1"
"Video có cảnh người bị đánh chảy máu trong phim","1"
"Người mẫu mặc áo trong suốt đứng trước gương","1"
"Cảnh người bị kéo tóc trong hành lang","1"
"Một cô gái đang chơi với mèo","0"
"Người mẫu khoe dáng trên giường ánh sáng hồng","1"
"Video mô phỏng cảnh người bị bắn trong chiến tranh","1"
"Một người đàn ông đang xem bảng dữ liệu","0"
"Người mẫu khoe eo khi nằm nghiêng","1"
"Cảnh người bị trói và la hét trong phòng tối","1"
"Một cô gái đang đánh đàn piano","0"
"Người mẫu khoe ngực trong váy ren đỏ","1"
"Video có cảnh người bị đâm xuyên vai","1"
"Một người đàn ông đang giảng bài cho học sinh","0"
"Người mẫu mặc bikini cầm điện thoại chụp selfie","1"
"Cảnh người bị đánh bằng gậy trong game quảng cáo","1"
"Một cô gái đang gói quà sinh nhật","0"
"Người mẫu khoe vai trần với ánh sáng mờ","1"
"Video có cảnh người bị rơi từ tòa nhà cao","1"
"Một người đàn ông đang dạy tiếng Anh","0"
"Người mẫu khoe vòng eo trong váy ngủ trắng","1"
"Cảnh máu văng tung tóe khi nhân vật bị bắn","1"
"Một cô gái đang trang trí bánh kem","0"
"Người mẫu nằm trên giường tạo dáng gợi cảm","1"
"Video mô phỏng cảnh người bị tát mạnh","1"
"Người mẫu mặc đồ ren tạo dáng bên cửa sổ","1"
"Cảnh người bị đánh ngã xuống cầu thang","1"
"Một cô gái đang cười trước ống kính","0"
"Người mẫu khoe ngực trong ánh sáng đỏ","1"
"Video hiển thị cảnh người bị dao đâm xuyên bụng","1"
"Một người đàn ông đang dạy lập trình","0"
"Người mẫu mặc áo lưới chụp cận ngực","1"
"Cảnh người bị kéo vào căn phòng tối","1"
"Một cô gái đang mở laptop học online","0"
"Người mẫu khoe dáng trong váy mỏng sát người","1"
"Video game hiển thị cảnh chém nhau đổ máu","1"
"Một người đàn ông đang ghi chú trong sổ","0"
"Người mẫu khoe vòng hông trong váy ren đen","1"
"Cảnh người bị đánh đổ máu trong quảng cáo phim","1"
"Một cô gái đang nấu ăn trong bếp","0"
"Người mẫu khoe vai trần nhìn vào camera","1"
"Video mô phỏng cảnh người bị rơi xuống vực sâu","1"
"Một người đàn ông đang giảng bài trực tuyến","0"
"Người mẫu mặc bikini đỏ tạo dáng trên ghế","1"
"Cảnh người bị tát máu rơi ra miệng","1"
"Video có cảnh người bị bóp cổ trong game","1"
"Một người đàn ông đang họp qua Zoom","0"
"Người mẫu khoe ngực trong áo mỏng","1"
"Cảnh người bị đánh gục bằng súng","1"
"Video hiển thị cảnh người bị đâm xuyên vai","1"
"Một người đàn ông đang nói chuyện với sinh viên","0"
"Người mẫu khoe dáng trong váy ngắn","1"
"Cảnh người bị xô ngã vào tường bê tông","1"
"Một cô gái đang đọc sách ngoài ban công","0"
"Người mẫu khoe eo khi nằm sấp","1"
"Một người đàn ông đang viết code","0"
"Người mẫu mặc váy ngủ ren tạo dáng","1"
"Cảnh người bị chém máu phun ra","1"
"Một cô gái đang ngồi uống cà phê","0"
"Người mẫu khoe ngực trong ánh sáng xanh","1"
"Video hiển thị cảnh người bị đánh văng ra xa","1"
"Một người đàn ông đang kiểm tra điện thoại","0"
"Người mẫu khoe dáng trước gương","1"
"Cảnh người bị đâm dao vào bụng","1"
"Một cô gái đang dạy yoga","0"
"Người mẫu mặc đồ lót ren đen tạo dáng","1"
"Video có cảnh người bị xô ngã xuống nước","1"
"Một người đàn ông đang sửa điện thoại","0"
"Người mẫu khoe chân trong váy ngắn","1"
"Cảnh người bị đánh té ngửa","1"
"Một cô gái đang vẽ tranh","0"
"Người mẫu khoe vòng eo khi xoay người","1"
"Video mô phỏng cảnh người bị bắn trong game","1"
"Một người đàn ông đang dạy học sinh lập trình","0"
"Người mẫu khoe vai trần với váy ngủ","1"
"Cảnh người bị đổ máu trong phim quảng cáo","1"
"Một cô gái đang nấu mì gói","0"
"Người mẫu nằm trên giường trong ánh sáng đỏ","1"
"Video có cảnh người bị tát chảy máu môi","1"
"Một người đàn ông đang thuyết trình trong lớp","0"
"Người mẫu khoe dáng bên hồ bơi","1"
"Cảnh người bị đâm bằng dao trong game","1"
"Một cô gái đang làm việc trong quán cà phê","0"
"Người mẫu mặc váy xuyên thấu chụp ảnh","1"
"Video hiển thị cảnh người bị đánh trong phim","1"
"Người mẫu khoe vòng hông trong ánh sáng mờ","1"
"Cảnh người bị bóp cổ ngất đi","1"
"Người mẫu mặc đồ ngủ ren tạo dáng gợi cảm","1"
"Video mô phỏng cảnh máu rơi trên sàn","1"
"Một người đàn ông đang đọc sách","0"
"Người mẫu khoe chân khi ngồi bắt chéo","1"
"Cảnh người bị đánh chảy máu trong quảng cáo phim","1"
"Một cô gái đang xem tivi","0"
"Người mẫu khoe eo khi ngồi nghiêng người","1"
"Video có cảnh người bị đâm máu bắn ra","1"
"Một người đàn ông đang gõ bàn phím","0"
"Người mẫu khoe vai trần trên giường","1"
"Cảnh người bị kéo lê trên sàn","1"
"Một cô gái đang nói chuyện qua điện thoại","0"
"Người mẫu khoe ngực trong váy ngủ ren đỏ","1"
"Video mô phỏng cảnh người bị đánh rơi vũ khí","1"
"Một người đàn ông đang giảng bài qua màn hình","0"
"Cận cảnh người mẫu khoe vòng eo trong ánh sáng đỏ","1"
"Toàn cảnh nhóm thanh niên đang nhảy múa vui vẻ","0"
"Cận cảnh người bị đánh té ngửa xuống sàn","1"
"Ánh sáng mờ người mẫu nằm nghiêng khoe vai trần","1"
"Cảnh quay rung nhẹ khi nhân vật bị tát","1"
"Cận cảnh cô gái đang ăn bánh kem và cười tươi","0"
"Góc quay thấp người mẫu khoe chân dài khi bước đi","1"
"Toàn cảnh người đàn ông đang pha cà phê trong bếp","0"
"Cận cảnh người bị đâm dao vào ngực máu phun ra","1"
"Ánh sáng lạnh người mẫu khoe dáng trong váy ngủ ren","1"
"Cảnh rung người bị kéo vào căn phòng tối","1"
"Cận cảnh cô gái đang viết nhật ký trong sổ","0"
"Góc máy lia chậm người mẫu khoe vòng hông sát camera","1"
"Cận cảnh người bị đánh đổ máu trong quảng cáo phim","1"
"Cô gái đang tưới cây trong vườn nụ cười rạng rỡ","0"
"Góc quay nghiêng người mẫu khoe ngực trong váy mỏng","1"
"Cảnh chớp sáng người bị ngã xuống cầu thang","1"
"Toàn cảnh người đàn ông đang giảng dạy online","0"
"Cận cảnh người mẫu cởi áo khoác khoe vai","1"
"Video rung lắc mạnh người bị tát chảy máu môi","1"
"Cô gái đang đọc sách bên cửa sổ có nắng chiếu vào","0"
"Cận cảnh người mẫu khoe eo khi xoay người","1"
"Góc quay từ dưới lên người bị đâm bằng dao","1"
"Người đàn ông đang mở máy tính dạy học","0"
"Ánh sáng mờ người mẫu mặc váy ren đen tạo dáng","1"
"Cảnh rung nhẹ người bị xô ngã xuống nước","1"
"Cô gái đang trang điểm trong gương","0"
"Người mẫu khoe vòng ngực trong ánh sáng vàng","1"
"Cận cảnh người bị đánh gục trong quảng cáo phim hành động","1"
"Người đàn ông đang viết ghi chú vào sổ tay","0"
"Người mẫu nằm sấp khoe vai và lưng trần","1"
"Cảnh quay rung máu văng ra khi nhân vật bị bắn","1"
"Cô gái đang học online trên laptop","0"
"Người mẫu mặc áo lưới khoe eo","1"
"Cận cảnh người bị chém trong game máu đổ","1"
"Người đàn ông đang thuyết trình trong phòng họp","0"
"Người mẫu khoe chân trong váy ngắn ren","1"
"Video mô phỏng cảnh bị bóp cổ mặt tái xanh","1"
"Cô gái đang dạy yoga trên thảm","0"
"Người mẫu khoe dáng trong ánh sáng tím","1"
"Cảnh người bị tát ngã trên đường","1"
"Người đàn ông đang ngồi trong quán cà phê làm việc","0"
"Người mẫu khoe vòng hông trong váy trắng mỏng","1"
"Cảnh rung người bị kéo lê trên sàn","1"
"Cô gái đang cắm hoa trong bình thủy tinh","0"
"Người mẫu khoe vai trần khi nằm trên giường","1"
"Cận cảnh người bị đâm máu chảy ra tay","1"
"Người đàn ông đang hướng dẫn học sinh qua máy chiếu","0"
"Người mẫu khoe eo khi đứng nghiêng người","1"
"Cảnh quay rung người bị ngã xe đạp chảy máu","1"
"Cô gái đang gọt trái cây trong bếp","0"
"Người mẫu mặc bikini đỏ tạo dáng bên hồ bơi","1"
"Cận cảnh người bị đánh bằng gậy","1"
"Người đàn ông đang học tiếng Anh trên điện thoại","0"
"Người mẫu khoe vòng một trong váy mỏng","1"
"Cảnh người bị bóp cổ trong phim quảng cáo","1"
"Cô gái đang gói quà sinh nhật","0"
"Người mẫu nằm nghiêng ánh sáng chiếu vào vùng eo","1"
"Cảnh rung người bị tát máu rơi ra miệng","1"
"Người đàn ông đang gõ laptop trong văn phòng","0"
"Người mẫu khoe ngực trong ánh sáng mờ","1"
"Cận cảnh người bị bắn ngã xuống đất","1"
"Cô gái đang học bài trong thư viện","0"
"Người mẫu khoe lưng trần khi xoay người lại","1"
"Cảnh máu văng tung tóe khi bị chém","1"
"Người đàn ông đang pha trà trong quán nhỏ","0"
"Người mẫu khoe dáng trong ánh sáng đỏ rực","1"
"Cận cảnh người bị đánh ngã xuống cầu thang","1"
"Cô gái đang vẽ tranh trên bàn gỗ","0"
"Người mẫu khoe vòng hông khi ngồi trên ghế","1"
"Video rung mạnh người bị xô ngã ra đường","1"
"Người đàn ông đang dạy học sinh vẽ","0"
"Người mẫu khoe ngực khi cúi người về phía camera","1"
"Cảnh quay người bị kéo vào phòng tối","1"
"Cô gái đang nấu ăn mặt cười rạng rỡ","0"
"Người mẫu khoe chân dài với váy ren đen","1"
"Cận cảnh người bị đâm máu bắn ra","1"
"Người đàn ông đang đọc sách trên ghế sofa","0"
"Người mẫu nằm trên giường với áo mỏng","1"
"Cảnh người bị đánh bằng tay máu văng lên tường","1"
"Cô gái đang dạy hát online","0"
"Người mẫu khoe eo trong váy xuyên thấu","1"
"Người đàn ông đang viết bài giảng","0"
"Người mẫu khoe vòng ba khi đứng nghiêng","1"
"Cận cảnh người bị bắn gục máu chảy ra","1"
"Cô gái đang nói chuyện với bạn bè qua điện thoại","0"
"Người mẫu mặc đồ ren chụp dưới ánh sáng vàng","1"
"Video mô phỏng cảnh người bị đâm xuyên ngực","1"
"Người đàn ông đang hướng dẫn lập trình Python","0"
"Người mẫu khoe vai trần trong ánh sáng mờ tím","1"
"Cảnh người bị đánh văng ra xa trong phim","1"
"Cô gái đang chăm cây cảnh","0"
"Người mẫu khoe dáng trong váy ren đỏ","1"
"Video có cảnh máu rơi xuống sàn nhà","1"
"Người đàn ông đang uống cà phê đọc báo","0"
"Một cô gái đang giới thiệu cách làm bánh ngọt tại nhà","0"
