s,v,o,label
Một cậu thanh niên,rót,rượu gin có thương hiệu trong khi leo núi,1
Một cậu thanh niên,mở,tequila có logo trước biển hiệu quảng cáo,1
Anh nhân viên,cụng,vodka có logo trên livestream quảng bá,1
Một nhóm thanh niên,đưa,tequila có logo trong lúc lái ô tô,1
Nhóm sinh viên,đưa,vodka trong video quảng bá trong clip quảng cáo,1
Người đàn ông,nhìn,ra cửa sổ với tách trà nóng trên tay,0
Nhóm bạn,cầm,bia lon khi đi dã ngoại,0
Người phụ nữ,nâng,rượu gin có thương hiệu trong quán bar với poster thương hiệu,1
Người đàn ông,quảng cáo,rượu whisky có thương hiệu trên livestream quảng bá,1
Người đàn ông,ném,điện thoại xuống đất trong cơn nóng giận,1
Một cậu thanh niên,quảng cáo,bia không logo trong công viên,0
Người phụ nữ,giơ,rum thương hiệu ABC trước biển hiệu quảng cáo,1
Người phụ nữ,giơ,vodka có logo trước biển hiệu quảng cáo,1
Anh nhân viên,ăn,rum thương hiệu ABC trong lúc lái ô tô,1
Một người đàn ông,giơ,nước ngọt khi xem bóng đá,0
Cô gái,quảng cáo,rượu vang đỏ trước poster thương hiệu khi điều khiển thuyền,1
Người,đang khoe,phiếu “rút thưởng thật”,1
Bạn nữ,rót,sinh tố dâu trong công viên,0
Ba người bạn,mở,nước ngọt trong phòng khách,0
Nhóm bạn trẻ,rót,rượu whisky có thương hiệu trong clip quảng cáo,1
Cặp đôi,nhấp,rượu whisky có thương hiệu trong lúc lái ô tô,1
Anh nhân viên,giơ,nước ngọt khi xem bóng đá,0
Người đàn ông,sắp,xếp tài liệu lên bàn,0
Cô gái,nhìn,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Chàng trai,ăn,nước chanh trước rạp chiếu phim,0
Người phụ nữ,mở,rượu whisky có thương hiệu trên livestream quảng bá,1
Cặp đôi,uống,vodka có logo trên livestream quảng bá,1
Clip người nổi tiếng,kêu gọi,đầu tư sàn coin,1
Anh nhân viên,mở,vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Cô nhân viên lễ tân,mỉm cười,chào khách bước vào khách sạn,0
Cô gái,đang sắp,xếp bàn ăn,0
Đôi bạn trẻ,uống,nước ép cam trước rạp chiếu phim,0
Anh nhân viên,nhấp,nước táo trong buổi picnic,0
Nhóm bạn,mở,nước táo khi xem bóng đá,0
Anh nhân viên,nhìn,whisky trước biển hiệu quảng cáo trong khi leo núi,1
Người phụ nữ,đang gói,quà sinh nhật với giấy màu,0
Đôi bạn trẻ,quảng cáo,nước lọc trong buổi tiệc gia đình,0
Thanh niên,ăn,nước ngọt trong buổi picnic,0
Cô gái,uống,sinh tố dâu trước rạp chiếu phim,0
Người đàn ông,đá,cửa xe hơi và chửi bới,1
Bạn nữ,say,rượu gin có thương hiệu trên livestream quảng bá,1
Người đàn ông,quảng cáo,rượu gin có thương hiệu trước biển hiệu quảng cáo,1
Người đàn ông,cầm,bourbon thương hiệu lớn khi điều khiển thuyền,1
Một cậu thanh niên,giơ,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Ba người bạn,nâng,nước lọc trong buổi picnic,0
Nhóm bạn,giơ,nước lọc trước rạp chiếu phim,0
Một người đàn ông,rót,nước ép dưa hấu trong buổi picnic,0
Một người đàn ông,uống,rượu mạnh trước biển hiệu quảng cáo,1
Thanh niên,ăn,nước ép dưa hấu trong phòng khách,0
Một cậu thanh niên,uống,tequila có logo khi điều khiển thuyền,1
Cô gái,nhìn,nước ép cam trong buổi tiệc gia đình,0
Ba người bạn,quảng cáo,nước ngọt trong buổi tiệc gia đình,0
Nhóm bạn,nhìn,nước ép cam trong buổi picnic,0
Người phụ nữ,cụng,mojito không cồn ở quán cà phê,0
Cô gái,nhấp,rượu gin có thương hiệu trong khi leo núi,1
Ba người bạn,ăn,sinh tố dâu khi xem bóng đá,0
Một cậu thanh niên,uống,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Một cậu thanh niên,ăn,mojito không cồn trong công viên,0
Người đàn ông,nhấp,nước ép dưa hấu trong công viên,0
Một cậu thanh niên,nhìn,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Thanh niên,nhìn,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Nhóm bạn,đưa,cà phê khi xem bóng đá,0
Cô gái,nghiêng,người trên sofa và nhìn đắm đuối,1
Một cậu thanh niên,giơ,trà sữa khi đi dã ngoại,0
Một nhóm thanh niên,nhấp,cà phê trong công viên,0
Ba người bạn,quảng cáo,mojito không cồn trước rạp chiếu phim,0
Chàng trai,quảng cáo,nước táo trong buổi picnic,0
Người mẫu,chụp,ảnh trong phòng ánh sáng đỏ,1
Bạn nữ,nâng,bourbon thương hiệu lớn trên livestream quảng bá,1
Người,cười,khi màn hình hiện “rút tiền dễ dàng”,1
Thanh niên,đưa,nước ép dưa hấu trong phòng khách,0
Nhóm bạn,nhìn,bourbon thương hiệu lớn trong clip quảng cáo,1
Một người đàn ông,quảng cáo,sinh tố dâu trong công viên,0
Cô gái,nhìn,rum thương hiệu ABC trong khi leo núi,1
Một người,nói,thuốc này được WHO xác nhận giả,1
Một nhóm thanh niên,cụng,nước ép cam trong buổi picnic,0
Ba người bạn,đưa,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Một cậu thanh niên,cầm,cà phê trong công viên,0
Một nhóm thanh niên,nâng,nước ép cam trong buổi picnic,0
Một chiếc bánh kem,phủ,socola,0
Một người đàn ông,giơ,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Thanh niên,cầm,vodka có logo trong lúc lái ô tô,1
Nhóm sinh viên,say,trà sữa trong buổi picnic,0
Cặp đôi,nâng,nước chanh trong công viên,0
Cô gái,học,trang điểm bằng điện thoại,0
Cô gái,ăn,bia lon khi đi dã ngoại,0
Đôi bạn trẻ,say,sinh tố dâu bên bãi biển,0
Bạn nữ,cầm,trà sữa trong buổi picnic,0
Ba người bạn,rót,rượu vang đỏ trước poster thương hiệu trên livestream quảng bá,1
Cảnh quay,ghi lại,sản phẩm laptop phát sáng trong phòng tối,0
Cặp đôi,rót,sinh tố dâu trong buổi tiệc gia đình,0
Cô gái,ăn,tequila có logo trước biển hiệu quảng cáo,1
Người phụ nữ,đưa,mojito không cồn trong công viên,0
Người phụ nữ,nâng,nước ép dưa hấu trong công viên,0
Cặp đôi,quảng cáo,rượu mạnh trong quán bar với poster thương hiệu,1
Cặp đôi,cụng,nước khoáng khi đi dã ngoại,0
Nhóm bạn trẻ,quảng cáo,nước táo khi đi dã ngoại,0
Người mẫu,chụp,ảnh với ánh sáng mờ váy ren đen,1
Một người đàn ông,nhấp,bia lon bên bãi biển,0
Anh chàng,nhấp,bourbon thương hiệu lớn trong lúc lái ô tô,1
Quảng cáo,giới thiệu,dịch vụ sao chép thẻ ATM không cần chạm,1
Đôi bạn trẻ,quảng cáo,nước lọc trong buổi picnic,0
Người,học,cách lập trình trí tuệ nhân tạo nâng cao,0
Video,ghi lại,cận cảnh người bị nấm móng tay,1
Ba người bạn,cụng,rượu whisky có thương hiệu trước biển hiệu quảng cáo,1
Anh nhân viên,rót,bia nhẹ khi đi dã ngoại,0
Anh nhân viên,giơ,nước chanh khi đi dã ngoại,0
Cặp đôi,ăn,bia không logo khi xem bóng đá,0
Một nhóm thanh niên,cầm,rượu mạnh trên livestream quảng bá,1
Nhóm bạn,ăn,rượu gin có thương hiệu khi điều khiển thuyền,1
Người đàn ông,chỉnh,micro trước buổi phát biểu,0
Thanh niên,nhìn,nước ép dưa hấu ở quán cà phê,0
Cặp đôi,nhấp,bia nhẹ khi xem bóng đá,0
Anh chàng,mở,tequila có logo trong clip quảng cáo,1
Nhóm bạn trẻ,cầm,mojito không cồn ở quán cà phê,0
Một nhóm thanh niên,giơ,rượu mạnh trước biển hiệu quảng cáo,1
Nhóm bạn,đưa,rượu whisky có thương hiệu trong khi leo núi,1
Bạn nữ,nhìn,cà phê ở quán cà phê,0
Ba người bạn,nhấp,tequila có logo khi điều khiển thuyền,1
Người đàn ông,cụng,vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Người phụ nữ,rót,nước ép cam khi đi dã ngoại,0
Nhóm bạn trẻ,nhìn,vodka có logo trên livestream quảng bá,1
Người trẻ,soi,gương nhìn bụng,1
Ba người bạn,rót,sinh tố dâu ở quán cà phê,0
Một cậu thanh niên,cầm,trà sữa khi xem bóng đá,0
Người phụ nữ,nhìn,nước ép dưa hấu trong công viên,0
Đôi bạn trẻ,mở,vodka có logo trong quán bar với poster thương hiệu,1
Người đàn ông,đang dạy,học viên trong lớp yoga,0
Quảng cáo,giới thiệu,kem giúp xóa nếp nhăn hoàn toàn trong 10 phút,1
Cô gái,giơ,nước lọc bên bãi biển,0
Nhóm sinh viên,nhấp,whisky trước biển hiệu quảng cáo trên livestream quảng bá,1
Một người đàn ông,uống,rượu whisky có thương hiệu trước biển hiệu quảng cáo,1
Cận cảnh,hiển thị,máy làm kem cây có nhiều khuôn,0
Cô gái,cụng,nước chanh trong buổi picnic,0
Cô gái,đang kéo,dây đàn hồi,0
Một cậu thanh niên,nâng,rượu mạnh trong khi leo núi,1
Người đàn ông,ăn,sinh tố dâu bên bãi biển,0
Nhà khoa học,đang pha,dung dịch,0
Nhóm sinh viên,cụng,nước táo trong phòng khách,0
Ba người bạn,nhìn,vodka có logo khi điều khiển thuyền,1
Chàng trai,rót,bia nhẹ trong buổi picnic,0
Anh chàng,mở,nước lọc trong buổi tiệc gia đình,0
Cặp đôi,đưa,nước lọc khi đi dã ngoại,0
Một cậu thanh niên,mở,nước táo bên bãi biển,0
Anh chàng,nhìn,trà sữa khi xem bóng đá,0
Nhà đầu tư trẻ,mỉm cười,nhìn biểu đồ cổ phiếu tăng mạnh,0
Người đàn ông,nhấp,bia lon khi xem bóng đá,0
Nhóm bạn,nhấp,bia không logo bên bãi biển,0
Chàng trai,quảng cáo,sinh tố dâu khi xem bóng đá,0
Nhóm bạn,nhìn,bourbon thương hiệu lớn trong lúc lái ô tô,1
Bạn nữ,nhấp,rượu mạnh trên livestream quảng bá,1
Nhóm bạn,đưa,nước ngọt trong buổi tiệc gia đình,0
Một nhóm thanh niên,nâng,bia nhẹ bên bãi biển,0
Một nhóm thanh niên,đưa,nước táo trong phòng khách,0
Cô gái,cầm,bia không logo trước rạp chiếu phim,0
Một người đàn ông,ăn,vodka trong video quảng bá trong lúc lái ô tô,1
Một nhóm thanh niên,rót,mojito không cồn trong buổi picnic,0
Cô nhân viên,ăn,vodka trong video quảng bá trong khi leo núi,1
Anh chàng,quảng cáo,whisky trước biển hiệu quảng cáo trong lúc lái ô tô,1
Đôi bạn trẻ,uống,nước chanh trong phòng khách,0
Cặp đôi,cầm,mojito không cồn khi xem bóng đá,0
Chàng trai,nhấp,nước ép dưa hấu trong buổi tiệc gia đình,0
Một người,nói,thuốc này giúp mọc tóc ngay sau 10 phút,1
Người phụ nữ,nhấp,rượu mạnh trên livestream quảng bá,1
Nhóm bạn,rót,rượu whisky có thương hiệu trong khi leo núi,1
Anh nhân viên,ăn,rượu mạnh trong clip quảng cáo,1
Anh chàng,cụng,bia nhẹ trong buổi tiệc gia đình,0
Nhóm sinh viên,cụng,nước khoáng trong phòng khách,0
Người đàn ông,uống,nước lọc trong công viên,0
Người phụ nữ,quảng cáo,nước ép cam ở quán cà phê,0
Cô nhân viên,mở,rượu mạnh trong clip quảng cáo,1
Chàng trai,say,sinh tố dâu bên bãi biển,0
Video,ghi hình,một người tập nhảy tap dance,0
Một nhóm thanh niên,nhìn,rượu gin có thương hiệu trong clip quảng cáo,1
Cô gái,đọc,sách về phát triển bản thân,0
Người phụ nữ,mở,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Nhóm bạn,uống,nước lọc trong phòng khách,0
Nhóm bạn trẻ,giơ,rượu whisky có thương hiệu trên livestream quảng bá,1
Cô nhân viên,nâng,tequila có logo trước biển hiệu quảng cáo,1
Bạn nữ,đưa,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Một người,nói,thuốc này được NASA phát triển cho người bất tử,1
Người đàn ông,mở,nước chanh bên bãi biển,0
Cô gái,đưa,nước lọc trong phòng khách,0
Thanh niên,rót,rum thương hiệu ABC trước biển hiệu quảng cáo,1
Người,bị chém,đầu trong game,1
Hai người đàn ông,uống,vodka từ chai thủy tinh có logo thương hiệu,1
Ba người bạn,mở,sinh tố dâu ở quán cà phê,0
Anh nhân viên,cầm,nước táo ở quán cà phê,0
Một nhóm thanh niên,quảng cáo,nước ép dưa hấu trong phòng khách,0
Bạn nữ,đưa,nước lọc trước rạp chiếu phim,0
Một nhóm thanh niên,cụng,nước khoáng trong buổi tiệc gia đình,0
Cô gái,cầm,cà phê khi xem bóng đá,0
Thanh niên,ăn,rượu whisky có thương hiệu trong clip quảng cáo,1
Anh nhân viên,rót,bia lon trong công viên,0
Một người đàn ông,mở,bia lon trong phòng khách,0
MC,nói,mua lá bùa này thì tai nạn sẽ tránh xa,1
Một người đàn ông,đưa,nước ép cam trong công viên,0
Chàng trai,giơ,nước khoáng bên bãi biển,0
Đôi bạn trẻ,cầm,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Bạn nữ,ăn,rum thương hiệu ABC trong khi leo núi,1
Cô gái,cắt,trái cây trên thớt gỗ,0
Anh chàng,say,nước lọc khi xem bóng đá,0
Bạn nữ,nâng,tequila có logo trong khi leo núi,1
Một người,nói,thuốc này được WHO công bố sai sự thật,1
Nhóm bạn,nhìn,nước ngọt khi xem bóng đá,0
Cô gái,đưa,whisky trước biển hiệu quảng cáo trong khi leo núi,1
Thanh niên,cụng,vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Ba người bạn,nhấp,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Nhóm bạn trẻ,nâng,mojito không cồn bên bãi biển,0
Video,ghi lại,một người học làm đồ thủ công từ tre,0
Nhóm sinh viên,ăn,nước lọc bên bãi biển,0
Người dùng,quét,mã vạch sản phẩm trong siêu thị,0
Anh nhân viên,cầm,bourbon thương hiệu lớn trong khi leo núi,1
Anh chàng,uống,rum thương hiệu ABC trong lúc lái ô tô,1
Cô gái,quảng cáo,nước chanh trong phòng khách,0
Một cậu thanh niên,cầm,nước chanh khi xem bóng đá,0
Cô nhân viên,nâng,rượu gin có thương hiệu trong quán bar với poster thương hiệu,1
Một nhóm thanh niên,nâng,mojito không cồn trong buổi picnic,0
Ba người bạn,nhìn,nước ép dưa hấu khi đi dã ngoại,0
Cặp đôi,nâng,rượu mạnh trước biển hiệu quảng cáo,1
Người đàn ông,quảng cáo,trà sữa khi xem bóng đá,0
Chàng trai,cầm,tequila có logo trên livestream quảng bá,1
Người phụ nữ,nhấp,cà phê khi đi dã ngoại,0
Cô gái,uống,vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Thanh niên,nhấp,nước ngọt khi đi dã ngoại,0
Cô gái,cụng,nước lọc khi đi dã ngoại,0
Chàng trai,cụng,nước chanh ở quán cà phê,0
Người mẫu,khoe,lưng trần khi cầm bút,1
Anh chàng,uống,nước ép cam khi xem bóng đá,0
Bạn nữ,nhấp,cà phê ở quán cà phê,0
Cô gái,cầm,trà sữa ở quán cà phê,0
Người đàn ông,thử,mũ bảo hiểm full-face,0
Đôi bạn trẻ,mở,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Nhóm bạn,đưa,nước táo khi xem bóng đá,0
Người mẫu, nằm,trên giường trắng nhìn thẳng camera,1
Người phụ nữ,ăn,whisky trước biển hiệu quảng cáo trong lúc lái ô tô,1
Nhóm sinh viên,say,nước lọc khi đi dã ngoại,0
Chàng trai,quảng cáo,trà sữa trong phòng khách,0
Thanh niên,say,bia lon khi xem bóng đá,0
Nhóm bạn,rót,tequila có logo trong khi leo núi,1
Anh nhân viên,giơ,nước lọc ở quán cà phê,0
Nhóm sinh viên,đưa,nước lọc bên bãi biển,0
Quảng cáo,giới thiệu,thuốc giúp thay đổi màu da vĩnh viễn,1
Nhóm bạn trẻ,ăn,bia không logo khi đi dã ngoại,0
Ánh sáng ấm áp,chiếu,qua rèm cửa,0
Cô gái,nâng,bia không logo khi xem bóng đá,0
Cô nhân viên,nâng,bia lon khi xem bóng đá,0
Cô gái,uống,sinh tố dâu khi xem bóng đá,0
Ba người bạn,ăn,vodka có logo trong clip quảng cáo,1
Cô gái,rót,nước khoáng khi đi dã ngoại,0
Ba người bạn,quảng cáo,nước chanh trong phòng khách,0
Cô gái,thử,chiếc váy cưới,0
Chàng trai,rót,whisky trước biển hiệu quảng cáo trong khi leo núi,1
Người đàn ông,say,tequila có logo trong khi leo núi,1
Thanh niên,nhấp,bia lon trong buổi tiệc gia đình,0
Bàn tay,đang lật,trang sách,0
Người đàn ông,dắt,xe ra khỏi bãi,0
Thanh niên,say,nước táo khi đi dã ngoại,0
Cặp đôi,nhấp,whisky trước biển hiệu quảng cáo trong khi leo núi,1
Bạn nữ,quảng cáo,nước khoáng khi xem bóng đá,0
Nhóm bạn,ăn,vodka có logo trước biển hiệu quảng cáo,1
Một cậu thanh niên,giơ,nước ép cam trong buổi picnic,0
Cô gái,rót,nước chanh trong phòng khách,0
Cảnh quay,ghi lại,đầu bếp rắc gia vị lên món ăn,0
Cô nhân viên,giơ,nước ngọt trong phòng khách,0
Người đàn ông,nhấp,bia nhẹ khi đi dã ngoại,0
Cặp đôi,mở,rượu mạnh trước biển hiệu quảng cáo,1
Cặp đôi,giơ,bia không logo khi đi dã ngoại,0
Cô nhân viên,cụng,rượu gin có thương hiệu trong quán bar với poster thương hiệu,1
Một người,nói,nước này giúp tăng chiều cao không giới hạn,1
Đôi bạn trẻ,đưa,vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Một cậu thanh niên,ăn,nước táo trong công viên,0
Nhóm sinh viên,ăn,whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Chàng trai,nhấp,tequila có logo trong clip quảng cáo,1
Nhóm bạn trẻ,ăn,mojito không cồn khi đi dã ngoại,0
Cô nhân viên,cụng,vodka có logo khi điều khiển thuyền,1
Ba người bạn,ăn,mojito không cồn trong buổi tiệc gia đình,0
Người mẫu,tạo dáng,với áo phông kẻ ngang,0
Một người,nhấp,ngụm trà,0
Cô nhân viên,nâng,nước táo khi đi dã ngoại,0
Anh chàng,uống,bourbon thương hiệu lớn trong khi leo núi,1
Một cậu thanh niên,giơ,bia lon trong công viên,0
Nhóm sinh viên,đưa,nước khoáng trong công viên,0
Chàng trai,nâng,nước lọc trong buổi tiệc gia đình,0
Anh nhân viên,uống,rượu vang đỏ trước poster thương hiệu khi điều khiển thuyền,1
Cô gái,đeo,mũ beret đen,0
Chàng trai,nhấp,bia nhẹ trong buổi picnic,0
Một cậu thanh niên,nâng,nước ép dưa hấu trước rạp chiếu phim,0
Cô gái,quảng cáo,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Người đàn ông,nâng,vodka trong video quảng bá khi điều khiển thuyền,1
Anh chàng,cầm,nước táo khi xem bóng đá,0
Một cậu thanh niên,quảng cáo,bia nhẹ ở quán cà phê,0
Cảnh,quay,rượt đuổi nguy hiểm trên đường phố,1
Nhóm bạn trẻ,ăn,rum thương hiệu ABC trong khi leo núi,1
Anh chàng,cầm,nước khoáng ở quán cà phê,0
Cô gái,cắm,hoa tulip hồng vào lọ,0
Đôi bạn trẻ,giơ,nước táo khi đi dã ngoại,0
Nhóm bạn,giơ,nước táo khi đi dã ngoại,0
Ba người bạn,nâng,rum thương hiệu ABC trên livestream quảng bá,1
Một nhóm thanh niên,say,nước ép dưa hấu khi xem bóng đá,0
Chàng trai,cầm,nước ngọt trong buổi picnic,0
Một người đàn ông,say,nước khoáng trong phòng khách,0
Cô gái,nhìn,vodka trong video quảng bá trong clip quảng cáo,1
Nhóm bạn,đưa,tequila có logo khi điều khiển thuyền,1
Cặp đôi,giơ,vodka có logo trong khi leo núi,1
Ba người bạn,giơ,tequila có logo trong lúc lái ô tô,1
Người phụ nữ,quảng cáo,tequila có logo trong lúc lái ô tô,1
Anh nhân viên,cụng,bia lon trong buổi tiệc gia đình,0
Nhóm sinh viên,đưa,rượu whisky có thương hiệu trong khi leo núi,1
Chàng trai,nâng,vodka có logo trong quán bar với poster thương hiệu,1
Nhân viên kỹ thuật,kiểm tra,hệ thống mạng,0
Anh chàng,đưa,nước khoáng khi xem bóng đá,0
Người đàn ông,cụng,sinh tố dâu ở quán cà phê,0
Cô gái,pha,cà phê tại nhà,0
Anh nhân viên,đưa,nước ngọt trong công viên,0
Ba người bạn,nâng,nước ngọt bên bãi biển,0
Ba người bạn,cụng,nước ngọt trong công viên,0
Bạn nữ,đưa,rượu mạnh trong lúc lái ô tô,1
Chàng trai,cầm,trà sữa trong buổi picnic,0
Ánh sáng nhẹ,chiếu,lên mặt sàn,0
Người đàn ông,uống,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Bạn nữ,uống,cà phê trong phòng khách,0
Một cậu thanh niên,cụng,bia lon ở quán cà phê,0
Một người đàn ông,say,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Cô nhân viên,cụng,bia nhẹ bên bãi biển,0
Nhóm sinh viên,ăn,rượu vang đỏ trước poster thương hiệu trên livestream quảng bá,1
Người phụ nữ,đưa,rượu mạnh khi điều khiển thuyền,1
Cặp đôi,nâng,rum thương hiệu ABC khi điều khiển thuyền,1
Người đàn ông,rót,rượu whisky có thương hiệu trong lúc lái ô tô,1
Cô nhân viên,nhìn,cà phê trong buổi picnic,0
Người phụ nữ,đưa,rượu vang đỏ trước poster thương hiệu trong khi leo núi,1
Cô nhân viên,nâng,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Anh nhân viên,nhìn,nước ép dưa hấu bên bãi biển,0
Bạn nữ,ăn,vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Người đàn ông,pha,trà trong cốc gốm xanh,0
Nhóm bạn,ăn,nước chanh khi xem bóng đá,0
Đôi tay,cầm,tờ giấy ghi “chứng chỉ đầu tư”,1
Người phụ nữ,say,nước ép dưa hấu trước rạp chiếu phim,0
Nhóm bạn,mở,nước ép dưa hấu ở quán cà phê,0
Cô gái,rót,bia không logo trong buổi tiệc gia đình,0
Thanh niên,ăn,trà sữa ở quán cà phê,0
Nhóm sinh viên,giơ,vodka có logo trong lúc lái ô tô,1
Một cậu thanh niên,ăn,rượu vang đỏ trước poster thương hiệu khi điều khiển thuyền,1
Nhóm sinh viên,cụng,nước ép cam khi đi dã ngoại,0
Một nhóm thanh niên,cầm,nước chanh khi xem bóng đá,0
Cô nhân viên,nhìn,tequila có logo trước biển hiệu quảng cáo,1
Video quảng cáo,giới thiệu,nước giặt hương hoa mới,0
Cô nhân viên,rót,rượu mạnh trước biển hiệu quảng cáo,1
Anh chàng,nâng,mojito không cồn trong buổi tiệc gia đình,0
Một người,cười,khi nhìn vào màn hình “thu nhập tăng gấp ba”,1
Cô gái,ăn,bia nhẹ trong buổi picnic,0
Cô gái,nhìn,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Ánh nắng nhẹ,hắt,lên tường,0
Một người đàn ông,đưa,mojito không cồn trong công viên,0
Anh nhân viên,nhấp,rượu whisky có thương hiệu trong clip quảng cáo,1
Một cậu thanh niên,nhìn,nước táo trong công viên,0
Chàng trai,rót,nước lọc ở quán cà phê,0
Ba người bạn,mở,trà sữa bên bãi biển,0
Cặp đôi,say,bia không logo ở quán cà phê,0
Cô nhân viên,rót,vodka có logo trong lúc lái ô tô,1
Cô nhân viên,cụng,rượu whisky có thương hiệu trong clip quảng cáo,1
Người đàn ông,đưa,nước táo trong buổi tiệc gia đình,0
Người phụ nữ,mở,bia nhẹ ở quán cà phê,0
Thanh niên,say,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Chàng trai,nhấp,cà phê khi xem bóng đá,0
Cô gái,giơ,nước ép dưa hấu trong phòng khách,0
Người mẫu,mặc,váy đen bó sát,1
Người mẫu,khoác,áo ren đỏ bên giường,1
Một cậu thanh niên,nhấp,trà sữa trong công viên,0
Người mẫu,khoe,vai khi ngồi bàn học,1
Nhóm bạn trẻ,nhấp,trà sữa bên bãi biển,0
Cô nhân viên,giơ,nước lọc bên bãi biển,0
Cô gái,cụng,tequila có logo trong quán bar với poster thương hiệu,1
Cặp đôi,say,rượu gin có thương hiệu trong quán bar với poster thương hiệu,1
Bạn nữ,cầm,bia không logo trong buổi picnic,0
Anh chàng,giơ,bia nhẹ trong phòng khách,0
Anh chàng,cụng,trà sữa khi xem bóng đá,0
Chàng trai,nhìn,bia lon trong buổi picnic,0
Nhóm bạn trẻ,rót,nước chanh ở quán cà phê,0
Nam diễn viên,nâng,ly rượu mạnh trong khung cảnh sang trọng,1
Bạn nữ,say,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Cô gái,buộc,dây giày thể thao trắng,0
Một người,nói,nghe tần số này là hết đau đầu,1
Một nhóm thanh niên,cụng,cà phê trong buổi picnic,0
Người mẫu,khoe,chân dài bên chai nước giải khát,1
Một người,nói,nước này được Bộ Y tế xác nhận sai,1
Chàng trai,cụng,sinh tố dâu ở quán cà phê,0
Người phụ nữ,cụng,nước táo trước rạp chiếu phim,0
Thanh niên,ăn,nước táo trong buổi tiệc gia đình,0
Một người,nói,thuốc này chữa khỏi ung thư gan vĩnh viễn,1
Bạn nữ,uống,bia nhẹ ở quán cà phê,0
Một nhóm thanh niên,giơ,rượu mạnh trong khi leo núi,1
Cô gái,nâng,sinh tố dâu trong công viên,0
Cô gái,uống,trà chiều cùng bạn,0
Một cậu thanh niên,nhìn,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Ba người bạn,đưa,cà phê trong công viên,0
Người phụ nữ,liếm,viền ly cocktail trên sân khấu,1
Nhóm bạn,say,nước khoáng khi đi dã ngoại,0
Ba người bạn,nhấp,bia nhẹ trong buổi picnic,0
Cô nhân viên,ăn,nước lọc trong phòng khách,0
Chàng trai,nâng,rượu mạnh trong lúc lái ô tô,1
Bạn nữ,đưa,cà phê trong phòng khách,0
Cặp đôi,say,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Một chậu cây nhỏ,đặt,ở góc bàn,0
Cô gái,quảng cáo,rượu gin có thương hiệu trước biển hiệu quảng cáo,1
Quảng cáo,nước uống,“tăng trí nhớ thần kỳ”,1
Nhóm bạn trẻ,rót,bia nhẹ trong phòng khách,0
Người phụ nữ,cụng,nước ép cam trong công viên,0
Đôi bạn trẻ,quảng cáo,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Anh chàng,đưa,nước ép dưa hấu khi đi dã ngoại,0
Nhóm bạn,cụng,nước ngọt trong buổi tiệc gia đình,0
Một nhóm thanh niên,nhìn,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Chàng trai,nhấp,nước chanh trước rạp chiếu phim,0
Đôi bạn trẻ,giơ,nước ép cam trước rạp chiếu phim,0
Chàng trai,uống,bia không logo trong công viên,0
Đôi bạn trẻ,giơ,cà phê trong công viên,0
Đôi bạn trẻ,nâng,nước táo trước rạp chiếu phim,0
Anh nhân viên,uống,mojito không cồn khi xem bóng đá,0
Ba người bạn,say,vodka có logo khi điều khiển thuyền,1
Cô nhân viên,nhấp,rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Người,bị ném,đá vào người,1
Cặp đôi,nhấp,bourbon thương hiệu lớn trong clip quảng cáo,1
Một nhóm thanh niên,quảng cáo,sinh tố dâu trong công viên,0
Một cậu thanh niên,cụng,bia không logo ở quán cà phê,0
Thanh niên,giơ,vodka có logo trước biển hiệu quảng cáo,1
Nhóm bạn,quảng cáo,nước ngọt trước rạp chiếu phim,0
